keep_factor,w_right,w_left,t_left,t_right,f1_none,f1_left,f1_right,f1_macro
4,10,3.0,0.79,0.8461,0.9829,0.4573,0.297,0.579
4,15,3.0,0.7679,0.8767,0.9824,0.4536,0.2949,0.577
3,10,3.0,0.8146,0.8598,0.9821,0.4537,0.2892,0.575
4,25,3.0,0.7593,0.9159,0.9823,0.4488,0.2926,0.5746
3,15,3.0,0.817,0.8948,0.9824,0.4508,0.2904,0.5745
4,20,3.0,0.7626,0.9028,0.9824,0.4501,0.2902,0.5742
4,30,3.0,0.7551,0.9301,0.9824,0.4466,0.2884,0.5725
3,20,3.0,0.8231,0.9181,0.9827,0.4464,0.2834,0.5708
3,30,3.0,0.795,0.9392,0.9821,0.4428,0.2834,0.5694
3,25,3.0,0.8021,0.9292,0.9821,0.4422,0.2831,0.5691
2,10,3.0,0.8644,0.8891,0.9819,0.449,0.2754,0.5688
2,15,3.0,0.8474,0.922,0.9817,0.4445,0.2746,0.5669
2,20,3.0,0.8413,0.933,0.9813,0.4398,0.2701,0.5637
2,25,3.0,0.845,0.9468,0.9817,0.4361,0.2663,0.5614
2,30,3.0,0.839,0.9539,0.9814,0.4322,0.2651,0.5596
1,10,3.0,0.908,0.9151,0.9803,0.4332,0.25,0.5545
1,15,3.0,0.876,0.9376,0.9787,0.4246,0.2451,0.5495
1,20,3.0,0.8691,0.9501,0.9788,0.4207,0.246,0.5485
1,25,3.0,0.8683,0.9613,0.9791,0.416,0.2467,0.5473
1,30,3.0,0.8535,0.9652,0.9784,0.4101,0.2403,0.5429
